date_registered,gender,birthdate,current_location,employer,job,age,salary,credit_card_provider
2020-09-14,F,1992-01-28,"[0.1, 43.4]","Becker, Estrada and Miller",Professional,30-39,150k+,American Express
2021-02-18,F,1921-09-28,"[79.8, 80.5]","Pierce, Bryant and Blevins",Other,50-59,30k-60k,Discover
2021-10-10,F,1912-04-23,"[63.3, 44.1]",Fletcher-Cunningham,Other,30-39,150k+,JCB 16 digit
2019-06-30,F,1999-05-15,"[-87.9, 127.0]",Barnes LLC,Other,20-29,120k-150k,JCB 16 digit
2019-08-10,F,1914-02-14,"[-27.5, 9.3]",Baker-Williams,Other,60+,150k+,American Express
2021-06-07,M,1958-11-03,"[79.7, 79.9]",Flores-Hernandez,Other,20-29,30k-60k,American Express
2020-09-23,F,1949-07-14,"[62.9, -53.7]",Pope-Reid,Other,30-39,150k+,Maestro
2019-07-26,F,1919-11-25,"[-37.7, -26.7]",Baker Inc,Professional,50-59,150k+,JCB 16 digit
2022-01-02,M,1957-11-13,"[61.7, 91.5]",Ferguson-Hansen,Other,40-49,150k+,VISA 16 digit
2020-04-16,F,1957-04-22,"[85.9, -138.9]","Kennedy, Parker and Fitzgerald",Other,50-59,30k-60k,American Express
2020-04-08,M,1910-01-20,"[18.6, 55.9]",Mcdonald Group,Other,60+,90k-120k,VISA 16 digit
2021-10-31,F,2009-03-01,"[-19.9, -34.1]","Smith, Matthews and Robinson",Other,40-49,90k-120k,VISA 19 digit
2020-03-24,M,1913-10-24,"[-9.4, -96.3]",Galvan-Campbell,Other,50-59,150k+,Discover
2022-03-14,F,1984-05-26,"[33.5, -108.7]","Cross, Chapman and Harris",Other,60+,30k-60k,Maestro
2020-04-22,M,1953-02-25,"[52.7, -107.7]",Perkins-King,Other,60+,30k-60k,Mastercard
2022-06-01,F,2006-08-26,"[3.2, -93.7]",Morales-Harrell,Other,20-29,150k+,VISA 13 digit
2021-09-03,M,1910-01-10,"[64.3, 125.0]",Pena PLC,Other,30-39,150k+,JCB 16 digit
2019-08-20,F,1940-11-26,"[27.9, -159.1]",Brown-Smith,Other,50-59,150k+,VISA 16 digit
2019-08-13,F,1950-12-08,"[62.4, 136.1]",Welch Inc,Other,30-39,30k-60k,VISA 19 digit
2020-03-10,F,1927-12-29,"[-80.4, -55.5]",Santana PLC,Other,50-59,150k+,VISA 19 digit
2020-08-05,M,1928-11-25,"[31.5, 54.2]",Lewis-Cohen,Other,40-49,30k-60k,JCB 16 digit
2021-07-06,F,1982-03-22,"[-47.7, 82.8]",Jones Inc,Other,40-49,60k-90k,JCB 16 digit
2021-05-20,M,1996-10-26,"[85.5, 5.7]","Reid, Evans and Hawkins",Other,<20,<30k,JCB 15 digit
2021-03-27,M,1978-03-28,"[3.4, 49.2]","Castaneda, Luna and Gregory",Professional,50-59,30k-60k,Maestro
2021-01-02,F,1970-08-09,"[-50.5, -4.4]",Hardin PLC,Other,40-49,150k+,JCB 16 digit
2020-06-24,M,1950-06-25,"[49.4, -50.0]","Mcdowell, Smith and Barnes",Other,40-49,150k+,VISA 16 digit
2021-07-28,M,1947-06-04,"[8.0, -13.8]","Smith, Gould and Diaz",Other,50-59,60k-90k,JCB 15 digit
2020-07-25,M,1966-11-05,"[12.7, -121.8]",Davidson-Flores,Other,40-49,60k-90k,JCB 15 digit
2020-04-25,F,1947-06-29,"[-80.4, -168.6]",Cain-Lang,Other,40-49,60k-90k,Maestro
2021-04-01,F,1913-09-14,"[48.6, -82.0]",Lindsey-Taylor,Other,50-59,60k-90k,JCB 16 digit
2020-11-13,M,1968-09-22,"[17.9, 104.2]",Ali Group,Other,40-49,150k+,Diners Club / Carte Blanche
2021-06-15,F,1938-12-20,"[76.3, 75.4]",Reeves Ltd,Other,30-39,150k+,JCB 15 digit
2021-08-29,F,1910-02-13,"[-83.6, -173.4]",Duncan-Lowe,Other,30-39,150k+,Diners Club / Carte Blanche
2020-12-16,F,1948-03-18,"[-15.4, -126.1]",Jefferson Ltd,Other,20-29,150k+,VISA 16 digit
2022-01-25,F,1917-02-07,"[-50.6, 163.0]","Gonzalez, Matthews and Owens",Other,60+,90k-120k,VISA 16 digit
2021-03-09,F,1913-10-31,"[-40.5, 103.2]","Blackwell, Hogan and Mendez",Other,50-59,<30k,VISA 13 digit
2020-04-28,M,1919-03-09,"[-86.0, 71.7]",Foster-Hartman,Other,30-39,150k+,Diners Club / Carte Blanche
2020-12-13,F,1945-07-16,"[18.9, -57.5]","Meyers, Armstrong and Deleon",Other,50-59,150k+,Diners Club / Carte Blanche
2021-12-27,M,1945-10-30,"[-48.2, -173.1]",Frazier-Guerra,Other,20-29,90k-120k,American Express
2020-04-24,M,1930-09-12,"[29.9, 172.5]",Fuller PLC,Other,40-49,60k-90k,VISA 13 digit
2022-04-11,M,1985-06-17,"[7.4, -36.4]",Sullivan-Rodriguez,Other,50-59,90k-120k,American Express
2020-10-04,F,1960-04-15,"[79.6, -81.6]",Owen LLC,Professional,60+,150k+,American Express
2020-07-21,F,1936-10-31,"[89.3, 44.1]",Clark-Cook,Other,30-39,90k-120k,JCB 15 digit
2019-10-08,M,1980-02-28,"[-42.3, -163.9]","Sullivan, Stephens and Ryan",Other,20-29,90k-120k,VISA 16 digit
2020-07-09,F,1986-03-18,"[13.3, 66.8]",Martin PLC,Other,60+,150k+,VISA 13 digit
2021-09-09,M,1958-07-15,"[-69.3, 163.3]",Clark-Dunlap,Other,60+,150k+,JCB 15 digit
2020-05-22,F,1953-01-13,"[-17.2, 43.1]",Wolfe LLC,Other,50-59,150k+,American Express
2022-03-01,F,1975-06-13,"[-3.4, 79.9]","Walls, Burke and Herrera",Other,30-39,120k-150k,VISA 16 digit
2020-12-07,F,1975-12-07,"[66.9, -147.1]",Scott-Austin,Other,30-39,120k-150k,Maestro
2019-08-09,F,1947-01-10,"[85.5, -27.0]",Bishop Inc,Other,30-39,150k+,VISA 19 digit
2020-01-30,M,1916-12-29,"[49.6, -108.4]",Hammond-Jacobs,Other,20-29,90k-120k,VISA 19 digit
2021-08-20,F,1957-01-15,"[5.0, 178.0]",Roberts-Mills,Other,30-39,150k+,VISA 16 digit
2019-07-31,F,1908-11-06,"[6.8, 5.3]",Andrews-Patterson,Other,50-59,30k-60k,JCB 16 digit
2022-01-06,F,1975-01-04,"[-62.9, -54.8]","Pope, Richardson and Harris",Other,40-49,150k+,Diners Club / Carte Blanche
2021-10-28,M,1981-12-15,"[53.7, -145.0]",Fuller-Scott,Other,40-49,30k-60k,VISA 19 digit
2022-05-15,F,2014-11-19,"[-69.4, 162.8]",Watson PLC,Other,30-39,120k-150k,VISA 19 digit
2020-08-31,M,1969-11-06,"[14.5, -96.1]",Mack-Willis,Other,50-59,150k+,VISA 16 digit
2022-03-11,M,1936-08-19,"[2.7, 120.9]","Anderson, Hunter and Hayes",Other,50-59,150k+,JCB 16 digit
2020-08-21,F,1961-03-19,"[-65.2, -162.9]",Weiss Inc,Other,20-29,150k+,VISA 16 digit
2020-08-28,M,1963-08-26,"[-38.1, -170.8]",Lawrence-Li,Other,40-49,120k-150k,VISA 16 digit
2020-06-03,M,1921-04-16,"[48.9, -148.9]",Ortega-Brewer,Other,50-59,150k+,JCB 16 digit
2021-12-16,M,1929-03-07,"[-82.7, 66.9]","Davis, Thornton and Heath",Other,60+,60k-90k,JCB 16 digit
2021-05-16,F,1957-09-22,"[88.2, -166.1]",Rodriguez Ltd,Other,60+,60k-90k,Discover
2022-03-12,M,1988-06-20,"[-20.8, 121.8]",Morris PLC,Other,40-49,30k-60k,VISA 13 digit
2020-10-21,M,1917-03-02,"[-34.1, 80.4]","Miller, Riley and Armstrong",Other,30-39,150k+,JCB 16 digit
2022-03-21,M,1912-02-25,"[-49.7, 124.6]","Martin, Patel and Parsons",Other,50-59,150k+,Diners Club / Carte Blanche
2021-06-26,F,1989-07-16,"[-30.4, -153.9]",Singh and Sons,Other,60+,90k-120k,VISA 16 digit
2021-03-02,F,1986-04-06,"[-15.0, 134.0]","Rivera, Walker and Andersen",Other,30-39,120k-150k,Mastercard
2022-01-28,F,1981-03-21,"[-54.2, 147.3]","Arnold, Benson and Murray",Other,40-49,150k+,VISA 19 digit
2020-06-28,F,2003-08-06,"[9.4, 4.3]",Walker LLC,Other,30-39,150k+,VISA 16 digit
2020-09-10,M,1952-11-02,"[41.9, 92.4]",Brown-Lang,Other,20-29,150k+,JCB 16 digit
2021-09-16,F,1969-05-24,"[80.0, -94.9]","Russell, Castro and Bailey",Other,30-39,<30k,VISA 19 digit
2021-07-15,M,2005-11-21,"[6.4, 33.3]",Keith-Walker,Other,40-49,150k+,VISA 19 digit
2021-12-23,F,1914-06-15,"[-35.7, 118.0]","Wallace, Dougherty and Boyd",Other,60+,150k+,JCB 15 digit
2021-07-17,F,1966-04-22,"[73.0, 176.9]",Young LLC,Other,30-39,120k-150k,Maestro
2019-11-07,M,1973-12-29,"[-59.8, 133.1]",Watson-Chandler,Other,50-59,120k-150k,JCB 16 digit
2019-11-20,F,1922-10-24,"[-62.5, -52.3]","Gates, Diaz and Owen",Professional,20-29,30k-60k,VISA 16 digit
2020-08-21,F,1935-01-02,"[-78.3, -14.1]",Barnes Inc,Other,50-59,<30k,JCB 15 digit
2020-05-04,F,1973-09-11,"[45.6, 49.6]",Kent Group,Other,20-29,60k-90k,JCB 15 digit
2019-11-24,M,2014-11-24,"[24.3, -149.5]","Allen, Campbell and Young",Other,50-59,150k+,VISA 16 digit
2021-02-04,M,1986-07-05,"[46.2, 165.7]",Holt and Sons,Other,30-39,150k+,VISA 19 digit
2022-01-18,F,2006-09-22,"[40.4, 5.7]",Bryant-Gutierrez,Other,40-49,90k-120k,JCB 16 digit
2021-03-16,M,1916-08-01,"[31.7, -120.5]",Carr LLC,Other,50-59,120k-150k,American Express
2019-12-09,F,1999-10-16,"[7.3, -145.8]",Ross and Sons,Other,30-39,90k-120k,JCB 16 digit
2021-11-29,F,1926-02-05,"[-72.8, 117.2]","Espinoza, Lee and Becker",Other,50-59,150k+,Diners Club / Carte Blanche
2021-01-02,M,1927-12-01,"[30.0, 128.5]",Cook LLC,Other,30-39,120k-150k,Diners Club / Carte Blanche
2021-07-02,M,1915-07-25,"[-1.7, 116.6]",Santos LLC,Other,40-49,60k-90k,Diners Club / Carte Blanche
2021-09-24,F,2004-02-17,"[-58.4, -29.7]","Mckenzie, Howard and Liu",Other,40-49,150k+,JCB 16 digit
2020-12-11,F,1996-02-14,"[0.1, 1.5]","Johnson, Moreno and Pham",Other,40-49,90k-120k,VISA 19 digit
2020-11-10,M,1966-11-03,"[45.8, 106.6]",Trevino-Andrade,Other,20-29,30k-60k,Discover
2019-11-10,F,2010-12-10,"[77.8, -31.5]",Johnson LLC,Other,<20,60k-90k,VISA 16 digit
2020-10-09,M,2014-12-05,"[-18.2, -134.8]",Mcfarland Inc,Other,50-59,60k-90k,Maestro
2022-03-01,M,1933-04-26,"[-47.1, 70.8]","Ochoa, Chapman and Sims",Other,50-59,150k+,VISA 19 digit
2020-05-31,F,1948-01-31,"[-64.4, 41.3]",Shea Group,Other,40-49,150k+,JCB 16 digit
2021-03-11,M,1923-02-10,"[-17.1, 177.5]",Crawford-Anderson,Other,50-59,150k+,Mastercard
2020-08-08,M,1938-12-09,"[-4.0, 89.4]",Floyd-Wade,Other,20-29,90k-120k,JCB 16 digit
2020-01-22,F,1978-09-04,"[67.2, 85.6]",Henry Ltd,Other,40-49,150k+,Mastercard
2020-04-13,M,1932-06-24,"[-23.5, 36.6]","Martinez, Taylor and Anthony",Other,30-39,120k-150k,JCB 16 digit
2019-06-22,F,1930-05-30,"[-70.7, -31.1]","Gibbs, Chavez and Yates",Other,50-59,<30k,Discover
2021-12-29,M,2009-05-17,"[-77.7, 169.7]",Black-Turner,Other,40-49,150k+,Discover
2020-06-20,F,1955-05-16,"[61.4, -57.6]","Odom, White and Rodriguez",Other,40-49,30k-60k,Maestro
2019-09-12,F,1957-11-22,"[27.4, -172.9]",Anderson Group,Other,20-29,120k-150k,Mastercard
2020-10-10,M,1959-01-26,"[-51.4, -114.6]","Howe, Robertson and Ruiz",Other,40-49,120k-150k,VISA 19 digit
2022-05-25,F,1954-01-03,"[58.2, -88.5]",Parker-Nelson,Other,60+,150k+,VISA 13 digit
2022-02-18,M,1935-06-03,"[0.2, 64.4]","Davis, Burns and Stone",Other,20-29,30k-60k,American Express
2021-02-14,F,1919-10-27,"[77.9, 2.2]","Reed, Jones and Baker",Other,20-29,30k-60k,Maestro
2020-11-15,M,1990-02-02,"[24.0, -9.7]","Lee, Frank and Rose",Other,60+,150k+,VISA 16 digit
2021-05-02,M,1906-09-19,"[49.7, -113.1]","Garcia, Mccullough and Reed",Other,30-39,30k-60k,JCB 16 digit
2020-07-11,F,1972-04-21,"[65.0, 50.7]",Osborne-Donovan,Other,60+,150k+,VISA 19 digit
2020-08-15,M,2012-03-17,"[86.2, -66.7]",Hernandez LLC,Other,60+,150k+,VISA 19 digit
2020-01-12,F,2009-02-13,"[-4.7, -113.0]",Campos Inc,Other,30-39,150k+,American Express
2021-08-31,M,1955-08-02,"[-7.5, -177.0]",Frank-Smith,Other,30-39,150k+,VISA 16 digit
2022-06-05,F,1906-11-04,"[83.9, -128.4]",Osborne-Vaughn,Other,50-59,150k+,Discover
2022-04-24,F,1949-11-15,"[-44.6, -107.3]","Bell, Spears and Klein",Other,30-39,120k-150k,Maestro
2020-08-10,F,1977-06-08,"[-52.2, 116.5]","Barrera, Grant and Gray",Other,60+,120k-150k,Discover
2020-09-19,M,1913-07-17,"[17.4, -151.6]",Jackson PLC,Other,30-39,120k-150k,JCB 15 digit
2021-05-06,M,1997-06-13,"[3.7, 90.8]",Vega Inc,Other,50-59,150k+,VISA 16 digit
2021-10-09,F,2011-07-10,"[2.7, 149.0]",Brooks LLC,Other,50-59,120k-150k,VISA 13 digit
2021-05-08,F,1940-11-17,"[-52.7, -27.2]","Powell, Stone and Hanson",Other,20-29,30k-60k,JCB 16 digit
2020-03-07,M,1932-09-16,"[71.9, 139.7]",Moore-Edwards,Professional,20-29,150k+,VISA 16 digit
2021-01-03,M,1963-03-24,"[53.6, -18.3]",Atkinson Group,Other,20-29,120k-150k,VISA 16 digit
2021-10-16,F,1973-07-12,"[-40.2, -76.5]",Meyer Group,Other,30-39,90k-120k,VISA 13 digit
2021-09-19,M,1958-05-09,"[-78.2, 174.9]","Mcdonald, Frank and Roman",Other,50-59,150k+,American Express
2019-12-09,M,1970-07-31,"[85.6, 139.3]",Matthews Ltd,Other,40-49,150k+,Maestro
2021-10-15,F,1926-04-09,"[-62.5, 40.7]","Rogers, Deleon and Holt",Other,20-29,150k+,JCB 16 digit
2021-01-05,M,2013-02-20,"[-70.8, 168.8]",Ray-Miller,Other,40-49,30k-60k,VISA 16 digit
2020-06-12,M,1997-08-09,"[-4.9, 170.1]",Khan-Blair,Other,20-29,30k-60k,Diners Club / Carte Blanche
2019-08-09,M,2012-02-09,"[88.5, 43.0]",Walton PLC,Other,60+,60k-90k,Maestro
2022-04-06,F,1967-01-02,"[-12.5, -122.4]",Taylor and Sons,Other,50-59,150k+,Diners Club / Carte Blanche
2019-10-07,F,2005-04-09,"[43.1, 10.5]",Cox Inc,Other,20-29,120k-150k,Maestro
2019-08-14,M,1911-09-02,"[-80.5, 152.4]","Martinez, Smith and Bradford",Other,60+,150k+,Maestro
2019-12-10,M,1964-05-11,"[10.0, 75.0]",Butler-Flores,Other,20-29,150k+,VISA 13 digit
2019-10-31,F,1919-09-12,"[-14.2, 112.5]","Golden, Phillips and Young",Professional,30-39,150k+,Discover
2021-08-25,M,1946-07-29,"[-39.2, -31.7]",Willis and Sons,Other,50-59,30k-60k,Mastercard
2020-08-20,F,1946-06-07,"[-9.7, 18.4]",Nichols Ltd,Other,40-49,120k-150k,JCB 16 digit
2022-04-08,F,1919-03-13,"[-61.8, -150.8]","Moore, Martin and Rodriguez",Other,30-39,30k-60k,Diners Club / Carte Blanche
2019-09-28,M,1968-05-25,"[48.0, -30.3]",Wise-Marks,Other,50-59,150k+,JCB 16 digit
2021-07-15,M,1981-10-13,"[-20.6, -127.9]",Mcfarland PLC,Other,60+,150k+,VISA 16 digit
2020-01-10,F,2005-10-19,"[-10.7, 134.6]",Porter Group,Other,20-29,150k+,JCB 16 digit
2019-07-12,M,1938-09-09,"[68.2, 43.2]",Elliott-Gonzalez,Other,30-39,60k-90k,VISA 16 digit
2021-03-21,M,1937-01-31,"[-36.3, 123.8]",Weiss-Barry,Other,50-59,150k+,Diners Club / Carte Blanche
2020-03-23,M,1941-12-18,"[-79.2, -92.6]","Williams, Nguyen and Gill",Other,20-29,90k-120k,Mastercard
2021-11-14,M,1993-08-02,"[51.5, -92.0]","Sanders, Ryan and Walker",Other,40-49,150k+,JCB 16 digit
2022-05-28,M,1926-03-24,"[29.3, -126.0]",Johnson and Sons,Other,40-49,30k-60k,Mastercard
2022-02-23,F,1941-01-09,"[81.8, 151.6]","Willis, Dennis and Krause",Other,30-39,150k+,VISA 13 digit
2021-09-24,M,1953-08-31,"[59.2, 35.8]","Gonzalez, Smith and Bell",Other,50-59,150k+,JCB 15 digit
2019-12-18,F,2018-12-15,"[66.4, 16.8]",James-Moore,Other,50-59,<30k,VISA 13 digit
2020-05-30,F,1966-02-05,"[82.4, -19.1]","Clay, Silva and Meyer",Other,40-49,90k-120k,American Express
2021-10-08,F,1924-12-04,"[-65.7, 12.4]","Valdez, Hawkins and Collins",Other,30-39,150k+,Mastercard
2019-09-08,M,1953-10-10,"[16.0, -22.6]",Morgan-Valencia,Other,20-29,120k-150k,VISA 16 digit
2021-12-17,M,1911-03-01,"[-10.7, -75.5]","Barker, Mcgee and Martin",Other,50-59,120k-150k,VISA 16 digit
2021-03-09,M,1928-10-03,"[84.6, -62.6]","Miller, Johns and Smith",Other,60+,120k-150k,VISA 16 digit
2021-04-13,M,2021-07-20,"[60.8, -95.1]",Stewart-Pierce,Other,30-39,150k+,VISA 19 digit
2021-09-08,F,1923-11-23,"[61.9, 46.3]","Davidson, Brown and Reed",Other,20-29,120k-150k,American Express
2021-07-19,F,2021-08-29,"[39.3, -113.5]",Wilson and Sons,Other,40-49,150k+,Discover
2019-11-09,F,1932-01-21,"[-74.4, -42.2]","Brooks, Parks and Butler",Other,20-29,60k-90k,JCB 16 digit
2020-01-05,F,1931-08-06,"[74.3, -150.3]",Matthews-Salinas,Other,60+,150k+,Mastercard
2019-07-12,M,1992-08-20,"[-16.7, -74.2]",Rubio-Clark,Other,20-29,120k-150k,Maestro
2021-10-13,F,1969-12-31,"[29.5, -104.5]",Nguyen Ltd,Other,30-39,120k-150k,VISA 16 digit
2020-01-18,M,1979-07-03,"[30.6, -2.3]",Rollins Ltd,Other,60+,120k-150k,VISA 16 digit
2021-08-29,F,1969-06-15,"[-3.8, -16.7]",Carr-Green,Other,20-29,90k-120k,Maestro
2022-02-15,M,2005-10-28,"[23.9, -27.2]",Johnson-Garcia,Other,40-49,150k+,JCB 16 digit
2021-11-05,F,1978-10-06,"[58.7, -151.7]",Gross PLC,Other,30-39,60k-90k,VISA 13 digit
2019-08-16,M,1997-05-23,"[71.0, 149.3]",Gomez Ltd,Other,30-39,30k-60k,VISA 19 digit
2021-09-25,F,1969-01-26,"[-83.8, -7.9]",Bray-Garrett,Other,20-29,150k+,VISA 16 digit
2019-12-16,M,2021-11-29,"[0.0, -36.4]",Rice-Friedman,Other,50-59,60k-90k,VISA 19 digit
2020-09-04,F,1923-11-20,"[5.7, -97.2]",Hamilton-Conley,Other,<20,60k-90k,VISA 16 digit
2020-09-26,M,1909-03-23,"[30.0, 0.3]",Wheeler Group,Other,20-29,150k+,VISA 19 digit
2022-04-29,M,1983-10-06,"[-53.5, -157.4]",Smith PLC,Other,20-29,30k-60k,VISA 19 digit
2022-02-18,M,2015-12-08,"[-77.8, -2.3]",Ramirez PLC,Other,50-59,90k-120k,VISA 19 digit
2020-10-14,F,1986-10-05,"[35.2, -74.5]",Galvan Ltd,Other,60+,60k-90k,JCB 16 digit
2020-12-20,M,1974-09-06,"[43.3, -36.7]","Hill, Williams and Reid",Other,40-49,150k+,VISA 16 digit
2020-07-12,F,1943-01-19,"[79.4, 123.0]","Pierce, Mckee and Haney",Other,20-29,150k+,JCB 16 digit
2020-04-26,M,1944-05-12,"[33.0, 149.5]","Cannon, Alexander and Wong",Other,20-29,120k-150k,Diners Club / Carte Blanche
2020-03-03,M,2008-09-25,"[-67.8, 39.8]",Anderson and Sons,Other,50-59,60k-90k,VISA 19 digit
2020-06-24,F,1944-01-09,"[22.8, 56.6]",Rodriguez PLC,Other,40-49,150k+,Mastercard
2022-05-09,F,1925-10-14,"[-13.9, 171.8]","Stokes, Wilson and Reynolds",Other,30-39,150k+,VISA 16 digit
2022-06-14,F,2016-10-15,"[-2.8, 17.6]",Richard-Figueroa,Other,30-39,150k+,Discover
2020-08-20,F,2003-09-11,"[-2.2, -112.3]",Fischer-Ibarra,Other,40-49,90k-120k,Discover
2020-07-17,M,1982-04-23,"[-25.8, -4.8]",Campbell and Sons,Other,<20,<30k,JCB 16 digit
2020-08-04,F,1935-07-05,"[-37.5, -136.2]","Brooks, Patton and Johnson",Other,30-39,150k+,Mastercard
2021-05-26,F,2013-08-22,"[89.6, -3.7]",Hernandez and Sons,Other,50-59,60k-90k,Maestro
2020-09-03,F,1999-07-17,"[-83.2, 126.8]",Beck Group,Other,30-39,150k+,Discover
2020-10-03,F,1973-03-20,"[65.0, 39.5]",Smith-Mills,Other,40-49,150k+,JCB 16 digit
2021-09-18,M,2004-10-24,"[23.3, -48.3]",Hubbard and Sons,Other,40-49,90k-120k,JCB 16 digit
2022-03-21,M,1988-05-21,"[-8.9, 117.9]",Sanchez LLC,Other,30-39,150k+,JCB 16 digit
2020-10-16,M,2018-02-03,"[27.8, 158.8]","Baker, Knapp and Long",Other,30-39,150k+,JCB 15 digit
2021-06-06,M,1923-11-09,"[-5.6, 80.5]",Young-Marquez,Other,30-39,30k-60k,JCB 16 digit
2021-10-10,F,1977-01-17,"[43.6, -171.1]",Russell-Reed,Other,60+,150k+,JCB 16 digit
2021-11-19,M,2016-12-14,"[62.1, 137.0]","Perkins, Hill and Mcbride",Other,40-49,150k+,JCB 16 digit
2021-09-03,M,2001-11-22,"[88.6, -107.2]",Heath PLC,Other,20-29,60k-90k,Diners Club / Carte Blanche
2020-06-06,F,1908-03-06,"[-31.7, -116.1]",Cole-Leon,Other,30-39,<30k,JCB 16 digit
2021-11-06,M,1997-05-19,"[10.7, -12.4]","Washington, Dunn and Miller",Other,30-39,60k-90k,JCB 16 digit
2021-06-04,M,2019-09-06,"[-25.2, 8.9]",Brown Ltd,Other,50-59,120k-150k,JCB 16 digit
2019-10-19,F,1982-09-20,"[55.0, 120.4]",Lopez PLC,Other,40-49,150k+,JCB 15 digit
2022-04-27,M,2020-11-10,"[-37.8, -58.6]",Parker-Caldwell,Other,20-29,120k-150k,JCB 16 digit
2022-02-12,F,1945-09-07,"[-66.6, -47.6]",Dominguez-Martinez,Other,40-49,150k+,Mastercard
2020-02-02,M,1993-01-15,"[88.6, -147.4]",Moreno-Mcdonald,Other,60+,120k-150k,JCB 16 digit
2021-08-27,M,1996-02-09,"[-54.2, 143.3]",Phillips and Sons,Other,20-29,30k-60k,VISA 16 digit
2019-07-08,F,1949-09-06,"[-67.8, 97.4]",Blackwell-Jones,Other,30-39,90k-120k,Discover
2019-10-11,F,1970-10-18,"[65.2, 153.7]",Rodriguez Group,Other,20-29,150k+,American Express
2022-03-12,F,2018-11-05,"[-25.8, -59.9]","Thomas, Randall and Morales",Other,<20,150k+,JCB 16 digit
2020-12-23,F,2010-01-17,"[-66.3, -132.0]","Freeman, Calhoun and Levine",Other,20-29,60k-90k,American Express
2021-11-17,F,1992-04-15,"[-46.1, 97.8]",Ward PLC,Other,40-49,150k+,JCB 15 digit
2021-12-21,F,1961-11-21,"[-44.8, -147.3]","Bonilla, Pena and Green",Other,30-39,90k-120k,Mastercard
2021-04-06,F,2001-07-25,"[-5.7, -66.9]",Adams and Sons,Other,30-39,150k+,American Express
2022-03-19,M,1929-04-11,"[14.2, 21.8]","Simon, Bowman and Anderson",Other,50-59,150k+,JCB 15 digit
2022-04-07,F,1992-09-28,"[-79.7, -80.4]","Burns, Orozco and Barnes",Other,<20,120k-150k,JCB 16 digit
2020-12-24,M,1928-11-16,"[-75.5, 40.8]",Williams PLC,Other,20-29,60k-90k,VISA 19 digit
2021-01-03,M,2011-09-26,"[-69.4, -50.2]",Waters-Carroll,Other,40-49,150k+,VISA 19 digit
2021-05-26,M,1994-01-14,"[63.4, 166.5]","Woods, Collins and Suarez",Other,20-29,150k+,JCB 16 digit
2022-05-19,F,2016-10-20,"[54.0, 42.2]",Perry Inc,Other,20-29,30k-60k,Maestro
2019-08-26,F,1991-07-10,"[47.5, -65.6]","Snyder, Mendoza and Stephens",Other,40-49,90k-120k,American Express
2019-06-23,F,2005-04-11,"[2.8, -150.7]",Gutierrez PLC,Other,30-39,30k-60k,VISA 13 digit
2020-09-02,M,1907-06-02,"[-8.8, 161.4]","Donovan, Butler and Bates",Other,20-29,90k-120k,VISA 13 digit
2020-08-12,F,2010-05-04,"[-11.4, 119.0]",Newman-Perez,Other,60+,30k-60k,American Express
2021-06-30,M,1982-03-20,"[-38.2, 149.2]","Richards, Gaines and Small",Other,20-29,30k-60k,VISA 19 digit
2021-04-14,M,1987-06-17,"[51.6, -34.5]",Andersen-Jones,Other,20-29,150k+,Diners Club / Carte Blanche
2022-03-15,M,1919-11-22,"[-42.0, -55.5]","Anderson, Lin and Gates",Other,50-59,120k-150k,American Express
2020-10-13,F,2012-11-07,"[15.3, 138.8]",Anderson-Walker,Other,40-49,150k+,Maestro
2021-02-09,F,1950-01-02,"[54.7, 104.4]",Christensen-Diaz,Other,50-59,30k-60k,Discover
2022-02-24,F,1914-07-26,"[-27.5, 46.5]",Cordova-Morris,Other,50-59,150k+,JCB 16 digit
2019-07-11,M,1981-04-07,"[19.3, -45.7]",Hickman-Miller,Other,40-49,150k+,VISA 16 digit
2022-03-31,M,1931-10-22,"[7.9, 12.9]",Lee-Anderson,Other,30-39,150k+,JCB 16 digit
2019-11-19,F,1994-10-31,"[31.0, 44.3]","Clark, Moody and Cooke",Other,50-59,150k+,JCB 15 digit
2019-08-06,M,1943-09-03,"[71.6, -119.1]",Porter PLC,Other,40-49,90k-120k,VISA 16 digit
2020-09-02,M,2020-06-20,"[-19.8, -62.3]","Spencer, Maynard and Long",Other,30-39,30k-60k,JCB 15 digit
2021-04-25,F,1926-01-08,"[86.6, 16.1]","Scott, Chen and Sawyer",Other,40-49,90k-120k,Maestro
2022-03-10,M,2007-10-06,"[33.1, 43.4]","Mack, Gross and Atkinson",Other,<20,120k-150k,Maestro
2022-03-30,M,1925-06-09,"[-36.8, -19.0]","Becker, Morrison and Rose",Other,40-49,120k-150k,Discover
2021-11-11,M,1954-10-11,"[-16.7, -90.1]","Raymond, Gutierrez and James",Other,30-39,150k+,Diners Club / Carte Blanche
2021-05-07,M,2010-11-09,"[48.3, -45.6]",Livingston-Sanders,Other,50-59,90k-120k,VISA 13 digit
2020-01-09,F,1932-09-10,"[54.2, 111.8]","Bryant, Moran and Fox",Other,40-49,60k-90k,JCB 16 digit
2020-12-07,M,2002-01-14,"[-74.0, -5.5]",Poole Group,Other,40-49,120k-150k,JCB 16 digit
2019-11-25,M,1907-10-19,"[83.9, -125.3]",Hamilton-Smith,Other,<20,60k-90k,VISA 16 digit
2020-05-17,F,1923-04-24,"[-79.8, -127.4]",Brooks and Sons,Other,40-49,30k-60k,Diners Club / Carte Blanche
2020-07-13,F,1967-05-31,"[-50.1, -163.3]","Watts, Hensley and Brown",Other,50-59,30k-60k,Mastercard
